id,name,state,postcode,suburb,type
148,A B Paterson College,QLD,4214,Arundel,school
149,A.G.B.U. Alexander Primary School,NSW,2084,Duffys Forest,school
150,Abbotsford Primary School,VIC,3067,Abbotsford,school
151,Abbotsford Public School,NSW,2046,Abbotsford,school
152,Abbotsleigh,NSW,2076,Wahroonga,school
153,Abbotsleigh Junior School,NSW,2076,Wahroonga,school
154,Abercorn State School,QLD,4627,Abercorn,school
155,Aberdeen Public School,NSW,2336,Aberdeen,school
156,Aberfeldie Primary School,VIC,3040,Essendon,school
157,Aberfoyle Hub Primary School,SA,5159,Aberfoyle Park,school
158,Aberfoyle Park High School,SA,5159,Aberfoyle Park,school
159,Abergowrie State School,QLD,4850,Abergowrie,school
160,Abermain Public School,NSW,2326,Abermain,school
161,Aboriginal & Islander Independent Community School,QLD,4110,Acacia Ridge,school
162,Acacia Hill School,NT,0871,Sadadeen,school
163,Acacia Ridge State School,QLD,4110,Acacia Ridge,school
164,Academy of Mary Immaculate,VIC,3065,Fitzroy,school
165,Adam Road Primary School,WA,6230,South Bunbury,school
166,Adaminaby Public School,NSW,2629,Adaminaby,school
167,Adamstown Public School,NSW,2289,Adamstown,school
168,Adass Israel School,VIC,3185,Elsternwick,school
169,Adass Israel School - Glen Eira Road Campus,VIC,3185,Elsternwick,school
170,Adass Israel School - Orrong Road Campus,VIC,3185,Elsternwick,school
171,Adelaide Botanic High School,SA,5000,Adelaide,school
172,Adelaide East Education Centre,SA,5074,Campbelltown,school
173,Adelaide High School,SA,5000,Adelaide,school
174,Adelaide International School,SA,5000,Adelaide,school
175,Adelaide North Special School,SA,5115,Munno Para West,school
176,Adelaide River School,NT,0846,Adelaide River,school
177,Adelaide Secondary School of English,SA,5008,West Croydon,school
178,Adelaide West Special Education Centre,SA,5017,Taperoo,school
179,Adelong Public School,NSW,2729,Adelong,school
180,Advance College of Education Incorporated,VIC,3940,Rosebud West,school
181,Advance College of Education Incorporated - Hastings Hub,VIC,3915,Hastings,school
182,Advance College of Education Incorporated - Mornington Campus,VIC,3931,Mornington,school
183,Aetaomah School,NSW,2484,Terragon,school
184,Agnes Water State School,QLD,4677,Agnes Water,school
185,Ainslie Parklands Primary School,VIC,3136,Croydon,school
186,Ainslie School,ACT,2612,Braddon,school
187,Aintree Primary School,VIC,3336,Aintree,school
