id,name,state,postcode,suburb,type
1,Charles Sturt University,NSW,,,uni
2,Macquarie University,NSW,,,uni
3,Southern Cross University,NSW,,,uni
4,The University of New England,NSW,,,uni
5,The University of Newcastle,NSW,,,uni
6,The University of Sydney,NSW,,,uni
7,University of New South Wales,NSW,,,uni
8,University of Technology Sydney,NSW,,,uni
9,University of Wollongong,NSW,,,uni
10,Western Sydney University,NSW,,,uni
11,Private Universities (Table B),NSW,,,uni
12,Not applicable,NSW,,,uni
13,Private Universities (Table C),NSW,,,uni
14,Not applicable,NSW,,,uni
15,Other Approved Higher Education Institutions,NSW,,,uni
16,Academy of Information Technology,NSW,,,uni
17,Alphacrucis College,NSW,,,uni
18,Australasian College of Health and Wellness,NSW,,,uni
19,Australian Academy of Music and Performing Arts,NSW,,,uni
20,Australian College of Applied Psychology,NSW,,,uni
21,"Australian Film, Television and Radio School",NSW,,,uni
22,"Australian Institute of Management Education &
Training",NSW,,,uni
23,Australian Institute of Music,NSW,,,uni
24,Australian National Institute of Management and Commerce,NSW,,,uni
25,Avondale College of Higher Education,NSW,,,uni
26,Campion College,NSW,,,uni
27,Excelsia College,NSW,,,uni
28,Health Education & Training Institute,NSW,,,uni
29,Higher Education Leadership Institute,NSW,,,uni
30,"International College of Management, Sydney",NSW,,,uni
31,JMC Academy,NSW,,,uni
32,Kaplan Business School,NSW,,,uni
33,Kaplan Higher Education,NSW,,,uni
34,Kent Institute Australia,NSW,,,uni
35,Kings Own Institute,NSW,,,uni
36,Macleay College,NSW,,,uni
37,Moore Theological College,NSW,,,uni
38,Morling College,NSW,,,uni
39,Nan Tien Institute,NSW,,,uni
40,National Art School,NSW,,,uni
41,S P Jain School of Global Management,NSW,,,uni
42,SAE Creative Media Institute,NSW,,,uni
43,Study Group Australia Pty Ltd,NSW,,,uni
44,Sydney College of Divinity,NSW,,,uni
45,Sydney Institute of Business and Technology,NSW,,,uni
46,Sydney Institute of Traditional Chinese Medicine,NSW,,,uni
47,TAFE NSW,NSW,,,uni
48,Tabor College NSW,NSW,,,uni
49,The Australian College of Physical Education,NSW,,,uni
50,The Australian Institute of Theological Education,NSW,,,uni
51,The College of Law,NSW,,,uni
52,The National Institute of Dramatic Art,NSW,,,uni
53,Think: Colleges Pty Ltd,NSW,,,uni
54,UOW College,NSW,,,uni
55,UTS:INSEARCH,NSW,,,uni
56,Universal Business School Sydney (UBSS),NSW,,,uni
57,Wentworth Institute,NSW,,,uni
58,Whitehouse Institute of Design; Australia,NSW,,,uni
59,Deakin University,VIC,,,uni
60,Federation University Australia,VIC,,,uni
61,La Trobe University,VIC,,,uni
62,Monash University,VIC,,,uni
63,RMIT University,VIC,,,uni
64,Swinburne University of Technology,VIC,,,uni
65,The University of Melbourne,VIC,,,uni
